                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.35496,                0.25122,                0.92807,                0.99181,                      1,                  0.995,                0.92524,                0.40764,                0.17446,                0.81288,               0.001585,               0.001585,               0.001585
                     87,                0.35595,                0.25973,                0.92841,                0.98928,                      1,                  0.995,                0.92985,                0.39701,                0.17281,                0.80882,               0.001486,               0.001486,               0.001486
                     88,                0.34371,                0.23786,                0.90257,                0.98925,                      1,                  0.995,                0.92412,                0.40567,                0.17327,                0.80891,               0.001387,               0.001387,               0.001387
                     89,                0.33589,                0.24363,                0.91153,                0.98836,                      1,                  0.995,                0.91546,                0.41475,                0.17743,                0.80811,               0.001288,               0.001288,               0.001288
                     90,                0.32518,                0.22992,                0.91143,                0.98975,                      1,                  0.995,                0.92992,                0.41232,                0.17428,                0.80699,               0.001189,               0.001189,               0.001189
                     91,                0.34228,                0.23238,                0.91068,                0.99402,                      1,                  0.995,                0.92221,                0.40809,                0.17978,                0.80565,                0.00109,                0.00109,                0.00109
                     92,                0.33271,                0.22797,                0.90678,                0.99459,                      1,                  0.995,                0.93997,                0.38069,                0.17355,                0.80356,               0.000991,               0.000991,               0.000991
                     93,                0.32333,                0.23166,                0.91053,                0.98914,                      1,                  0.995,                0.94759,                0.37426,                0.17608,                0.79918,               0.000892,               0.000892,               0.000892
                     94,                0.32636,                0.23327,                0.91184,                 0.9914,                      1,                  0.995,                0.93646,                0.38008,                0.17419,                0.79961,               0.000793,               0.000793,               0.000793
                     95,                0.33579,                0.23938,                0.92341,                0.98359,                      1,                  0.995,                0.92201,                0.38171,                0.17022,                0.80206,               0.000694,               0.000694,               0.000694
                     96,                0.33131,                0.22862,                 0.9068,                 0.9836,                      1,                  0.995,                0.93097,                0.38133,                0.16949,                0.80259,               0.000595,               0.000595,               0.000595
                     97,                0.31955,                 0.2299,                0.90445,                0.99164,                      1,                  0.995,                0.92318,                0.38452,                0.16397,                0.80551,               0.000496,               0.000496,               0.000496
                     98,                0.31047,                0.22018,                0.89648,                 0.9953,                      1,                  0.995,                0.93152,                 0.3934,                0.16936,                0.81041,               0.000397,               0.000397,               0.000397
